id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Sul;Flamengo;;senador vergueiro;largo do machado gaucha;;CT;;4 reias para ajudar na gasolina;2017-05-30 15:56:08;2017-05-30 15:56:08;3,4;;;;2017-06-14 09:30:00
;Zona Norte;Tijuca;;Largo da 2a f;(flexível)  L Vermelha - Leopoldina - Satamini;;CT: Bloco D;;Bom de papo, trajeto flexível,  contribuições voluntárias aceitas :);2016-04-20 11:43:31;2017-04-19 11:59:25;;;;;2016-04-20 17:00:00
;Zona Norte;Tijuca;;Largo da Segunda Feira;Linha Vermelha, Leopoldina, Rua Paulo De Frontin, Rua Barão De Itapagipe, Rua Félix Da Cunha;;CCMN: Frente;;Não recebo notificações daqui e o servidor cai toda hora, se quiser me chama no wpp ou telegram: 994767057.;2016-05-03 08:05:22;2017-04-19 11:59:25;1,2,4;;;2016-05-03 08:35:48;2016-05-30 07:45:00
;Grande Niterói;Centro (Niterói);;;Av visconde Do Rio Branco, Rua Saldanha Marinho, Ponte;;CCS;;Não fumo! ;2016-04-09 17:33:28;2017-04-19 11:59:25;1;;;2016-04-11 09:11:11;2016-05-30 06:50:00
;Zona Norte;Tijuca;;Quinta da Boa Vista, Maracanã, Praça da Bandeira, Shopping Tijuca, Usina;São Miguel, Maracanã, São Cristóvão;;CT;;;2016-04-12 06:21:20;2017-04-19 11:59:25;1,2,3,4,5,6;;;2016-04-18 13:15:45;2016-05-03 08:00:00
;Zona Oeste;Barra da Tijuca;;Downtown;;;CT: Bloco D;;Escuto música e não fumo.;2016-04-14 01:20:39;2017-04-19 11:59:25;1,2,4,5;;;2016-04-20 06:17:33;2016-06-24 13:00:00
;Zona Sul;Copacabana;;;Hilário De Gouveia, Siqueira Campos, Túnel Velho, Túnel Rebolsas ;;CT;;Contribuição a seu criterio;2016-04-18 23:45:16;2017-04-19 11:59:25;;;;;2016-04-19 08:00:00
;Zona Sul;Botafogo;;Morada do Sol;Rua Álvaro Ramos - Rua Tereza Guimaraes - Rua Mena Barreto - Rua Humaita - Túnel Rebouças - Ilha Do Fundão ;;CCS: Frente;;"Auxílio Combustível R$4,00
Saída as 7:15";2017-02-24 00:31:12;2017-04-19 11:59:25;1,2,3,4,5;;;2017-03-06 16:21:27;2017-04-18 08:00:00
;Zona Sul;Botafogo;;;Rebouças ou Santa Bárbara ;;CCS: HUCFF;;"Normalmente vou pelo Rebouças, mas também posso ir pelo Santa Bárbara. Posso parar no CT, letras, FAU. Contribuição com a gasolina (3-4 reais) é voluntária, mas bem-vinda! ;D";2016-05-02 14:51:13;2017-04-19 11:59:25;1;;;;2016-06-20 17:00:00
;Zona Oeste;Camorim;;Mercado Unidos;Camorim, Curicica, Cel. Pedro Corrêa, Abelardo Bueno, Linha Amarela;;Letras;;;2016-04-13 21:51:30;2017-04-19 11:59:25;3,5;;;;2016-06-10 12:50:00
;Zona Oeste;Barra da Tijuca;;Rio2;Linha Amarela - Ayrton Senna - Abelardo Bueno;;CT;;;2019-04-08 11:29:43;2019-04-16 13:57:37;2,4;2019-06-09;;2019-04-16 13:57:37;2019-05-28 07:45:00
;Centro;Rio Comprido;;Esquina da Barão de Itapagipe;Paulo de Frontin - Leopoldina - Av. Brasil - Linha Vermelha;;Reitoria;;"Contribuições serão bem vindas! 
✌🏼🤓


Falar no WhatsApp:
(21) 9 9573 8616";2017-05-11 20:02:58;2017-05-11 20:02:58;1,2,3,4,5;;;;2017-07-07 07:00:00
;Zona Sul;Botafogo;;Praia de Botafogo;Linha vermelha, Santa barbara, praia de Botafogo;;CCS: Frente;;5 reais;2019-04-29 19:56:34;2019-04-29 19:56:34;1,2,3,4,5;2019-06-30;;;2019-05-20 18:00:00
;Zona Norte;Grajaú;;Praça Verdun;Lv, São Cristóvão, Manoel De Abreu, Maxwell;;CT: Bloco A;;;2016-04-11 09:00:57;2017-04-19 11:59:25;1,5;;;;2016-04-22 18:00:00
;Zona Norte;Brás de Pina;;Estação Braz de Pina;;;CCMN: Frente;;não fumo e divido a despesas do combustível;2016-05-31 22:44:10;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-21 22:00:00
;Baixada;São João de Meriti;;Centro próximo ao Colégio Santa Maria;"Centro; Dutra; Linha Vermelha ";;CCS;;;2016-04-09 20:02:12;2017-04-19 11:59:25;4;;;2016-04-09 20:02:51;2016-06-09 13:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Glaucio Gil;Linha Amarela/ Salvador Allende;;CT: Bloco D;;"Saindo do bloco E.
Sem cigarro ou outras paradas
Obg, de nada";2016-04-12 11:37:52;2017-04-19 11:59:25;2;2016-06-12;;;2016-04-12 18:30:00
;Zona Sul;Copacabana;;hosp sao lucas;corte cantagalo, epitacio pessoa, reboucas;;CT;;"peco contribuição de 3 pra ajudar na gasolina
saio por volta das 9:10";2016-04-19 09:16:30;2017-04-19 11:59:25;1,3;;;;2016-06-06 10:00:00
;Zona Sul;Humaitá;;Casa do Mago;Rua Humaitá, Rebouças, Linha Vermelha, Reitoria;;Reitoria;;;2016-04-14 22:38:41;2017-04-19 11:59:25;1,4;;;;2016-06-20 08:30:00
;Centro;Centro (Bairro);;Antônio carlos, castelo;Linha Vermelha;;CCS;;;2016-05-14 13:15:28;2017-04-19 11:59:25;2;;;;2016-05-24 17:00:00
;Zona Norte;Ribeira;;;Estrada do Galeão ou Jardim Guanabara ;;CCMN: Frente;;;2016-05-17 19:08:44;2017-04-19 11:59:25;;;;;2016-05-18 15:00:00
;Grande Niterói;São Gonçalo;;Cemitério São Miguel (Mutuá);BR;;CT: Bloco H;;;2016-04-15 20:18:08;2017-04-19 11:59:25;2,3,4,5;;;;2016-05-17 12:00:00
;Zona Norte;Portuguesa;;Aerobitas;Coxinha, Casa Show ou Canárias;;CT;;Possível pequenas alterações no trajeto. Contribuição para o combustível.;2019-07-23 20:00:43;2019-07-23 20:00:43;;;;;2019-07-24 09:00:00
;Zona Norte;Cachambi;;Wal Mart Linha Amarela;Nova América, Norte Shopping;;CT: Bloco D;;;2016-07-12 14:58:10;2017-04-19 11:59:25;;;;;2016-07-12 15:15:00
;Zona Oeste;Barra da Tijuca;;Downtown;Pela Linha Amarela.;;CT: Bloco D;;"Saiu do bloco F.
Posso me atrasar alguns minutos.
Não fumo.";2016-04-20 06:22:53;2017-04-19 11:59:25;1,2,4,5;;;;2016-05-05 13:00:00
;Zona Oeste;Barra da Tijuca;;CCS, HUCFF;Linha Amarela, BM, Bosque da Barra;;CCS: HUCFF;;;2016-04-12 11:04:35;2017-04-19 11:59:25;;;;;2016-04-13 02:45:00
;Zona Sul;Copacabana;;Próximo ao cinema Roxy e metrô Cantagalo;Rua Bolívar, Corte do Cantagalo, Túnel Rebouças;;CT;;;2016-04-10 12:06:32;2017-04-19 11:59:25;2,3,4,5;;;2016-05-31 00:37:53;2016-05-31 08:00:00
;Zona Sul;Laranjeiras;;Posto BR;Túnel Santa Bárbara, Prefeitura, Linha Vermelha;;CT;;;2017-06-08 22:04:39;2017-06-08 22:04:39;;;;;2017-06-09 09:00:00
;Zona Oeste;Freguesia de Jacarepaguá;;Colégio QI;Linha Amarela (subindo na Pau Ferro);;CT: Bloco A;;Costumo sair de casa (do lado do Qi) pontualmente às 6:50 e peço 5 reais para ajudar na gasolina e o pedágio :);2016-04-18 22:00:26;2017-04-19 11:59:25;1,2,3,4;;;;2016-05-24 06:50:00
;Zona Norte;Jardim Guanabara;;Cultura Inglesa;Estrada Do Galeao;;CT: Bloco D;;;2016-04-14 16:54:10;2017-04-19 11:59:25;2,4;;;2016-04-25 19:00:55;2016-07-26 22:00:00
;Zona Norte;Tijuca;;;rua mariz e Barros;;CT;;não fumo, pequena ajuda na gasolina de 3 reais, pequenos desvios são aceitos;2016-05-11 18:48:46;2017-04-19 11:59:25;2,4;;;;2016-05-17 07:30:00
;Zona Oeste;Barra da Tijuca;;Condomínio Península;Linha Amarela;;CT;;Busco até o Rosas;2018-08-08 22:31:22;2018-08-08 22:31:22;1,2,3,4,5;;;;2018-11-06 08:00:00
;Zona Oeste;Recreio dos Bandeirantes;;;;;Reitoria;;;2019-05-29 16:51:23;2019-05-29 16:51:23;;;;;2019-05-29 16:55:00
;Zona Oeste;Barra da Tijuca;;posto 4;Sernambetiba/ Av. das americas/ Ayrton senna;;CT;;Aceito 6 reais pra ajudar na gasolina, se for possível;2016-08-31 09:10:15;2017-04-19 11:59:25;1,2,3,4;;;;2016-10-12 08:00:00
;Zona Norte;Brás de Pina;;Estação Braz de Pina;;;CCMN: Frente;;não fumo e divido a despesas do combustível;2016-05-31 22:39:38;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-19 22:00:00
;Baixada;Mesquita;;Cosmorama;Linha vermelha, Dutra;;EEFD;;;2019-05-15 16:24:23;2019-05-15 16:24:23;2,4;2019-07-16;;;2019-05-30 13:20:00
;Zona Sul;Flamengo;;Bar devassa/Lojas Renner;Largo do Machado, Rua das Laranjeiras, Túnel Santa Bárbara;;CCS;;Peço contribuição de 4 reais.  Desde já agradeço!! :)  Saio às 9h00. Qualquer coisa, chama no whatsapp (21) 99939.9148;2017-01-16 19:23:58;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-01-23 09:30:00
;Centro;Centro (Bairro);;Pedra do Sal;Sacadura Cabral, Marechal Floriano, Presidente Vargas, Metrô Cidade Nova, Leopoldina;;Reitoria;;;2016-04-28 03:10:37;2017-04-19 11:59:25;2,3,4,5;;;;2016-06-14 09:30:00
;Zona Norte;Vila Isabel;;Igreja Nossa Senhora de Lourdes;Linha Vermelha, São Cristóvão, Radial Oeste, Avenida 28 De Setembro;;CT: Bloco D;;"Saio do fundão por volta das 15h.
Ar condicionado e playlist democrática. 
Contribuição de R$3,00.";2016-08-26 11:07:09;2017-04-19 11:59:25;1;2016-11-29;;;2016-08-29 15:00:00
;Zona Norte;Tijuca;;Largo da Segunda Feira;Linha Vermelha, Leopoldina, Rua Paulo De Frontin, Rua Barão De Itapagipe, Rua Félix Da Cunha;;CCMN: Frente;;;2016-04-10 01:26:20;2017-04-19 11:59:25;1;;;2016-04-10 01:31:19;2016-05-02 18:00:00
;Baixada;Duque de Caxias;;Duque de Caxias;Centro de Caxias, linha vermelha, praia vermelha.;;Praia Vermelha;;Saindo de Caxias até às 17:30Hs;2018-10-31 00:38:54;2018-10-31 00:38:54;1,3,4,5;;;;2019-01-02 18:00:00
;Zona Oeste;Camorim;;Mercado Unidos;Camorim, Curicica, Cel. Pedro Corrêa, Abelardo Bueno, Linha Amarela;;Letras;;;2016-04-20 11:55:09;2017-04-19 11:59:25;5;;;;2016-06-10 12:50:00
;Zona Sul;Copacabana;;Posto 3;Túnel Velho, Pedacinho De Botafogo, Humaitá, Rebouças;;CCMN;;Galera, só peço colaboração de 4,00 pra gasolina;2017-03-01 17:55:57;2017-04-19 11:59:25;2;;;;2017-05-23 07:45:00
;Zona Sul;Flamengo;;Rua Paissandu (em frente ao Palácio Guanabara);Tn Santa Barbara - Presidente Vargas;;CT;;Favor colaborar com 3 reais, obs: meu carro é um fusca portanto não tem ar-condicionado!;2017-05-12 09:17:46;2017-05-12 09:17:46;2,4;;;;2017-06-06 13:00:00
;Zona Oeste;Barra da Tijuca;;Parque Aquático Maria Lenk;Linha Amarela;;CT;;;2017-03-07 23:48:39;2017-04-19 11:59:25;1,7;;;2017-03-07 23:50:54;2017-04-30 10:00:00
;Zona Norte;Vista Alegre;;Perto do Barril 8000;Vila Da Penha, Penha, Av Brasil ;;CT: Bloco A;;"Saio de Vista Alegre e vou por dentro. Trajeto depende do trânsito.
Aceito contribuicao pra gasolina. ";2016-05-15 19:27:39;2017-04-19 11:59:25;;;;2016-05-23 14:07:36;2016-05-16 08:00:00
;Zona Sul;Flamengo;;Largo do Machado;Túnel Santa Bárbara;;CCS: Frente;;;2016-04-20 09:13:04;2017-04-19 11:59:25;3;;;2016-05-04 12:29:41;2016-06-01 12:00:00
;Zona Norte;Riachuelo;;estação de trem do Riachuelo;Linha vermelha, São Cristóvão, Radial Oeste, Mangueira;;CT;;Contribuição 3 temers, pfvr n esteja portando drogas;2018-04-12 16:59:35;2018-04-12 16:59:35;;;;;2018-04-12 17:15:00
;Zona Norte;Tijuca;;Saens Peña;Fundão - Leopoldina - Afonso Pena - SFX - Saens Peña;;CT;;;2016-04-14 08:45:14;2017-04-19 11:59:25;4;;;2016-04-14 08:45:46;2016-06-09 09:00:00
;Zona Norte;Vila da Penha;;Shopping Carioca.;Saímos da vila da Penha as 09:30. Seguimos ou pela pastor Martin Luther King e linha amarela ou pela Penha e avenida Brasil, dependendo do trânsito.;;CCS;;Eu e minha esposa saimos da vila da Penha e vamos pro fundão. Pedimos contribuição para a gasolina. Passamos por todo o fundão. Do ccs a o parque tecnológico.;2019-05-27 15:04:55;2019-05-27 15:04:55;1,2,3,4,5;2019-07-28;;;2019-07-15 10:00:00
;Zona Sul;Copacabana;;Bloco D;Túnel Velho, Humaitá e Rebouças;;CT;;Contribuição de R$4.00;2018-04-12 08:13:00;2018-04-12 08:13:00;2;;;;2018-05-29 08:50:00
;Zona Norte;Abolição;;Mercado guanabara Av dom Hélder câmara ;Av Dom Hélder Câmara- Linha Amarela Na Altura Do Prédio Arena;;CT;;"$4
🚗🌬";2016-04-14 07:52:06;2017-04-19 11:59:25;1,2,3,4;;;;2016-05-31 18:00:00
;Zona Sul;Catete;;Palácio do Catete;Cidade Nova -> Leopoldina -> Fluminense -> Largo do machado -> Palácio do Catete;;CT: Bloco H;;Aceito contribuições de R$: 4,00;2016-04-28 07:27:36;2017-04-19 11:59:25;;;;;2016-04-28 17:00:00
;Zona Sul;Humaitá;;Do lado do Colégio Andrews;Linha Vermelha, Paulo de Frontin, Rebouças, Rua Humaitá, Rua Pinheiro Guimarães;;CT: Bloco H;;Não fumo, não cobro carona.;2016-04-12 12:56:58;2017-04-19 11:59:25;;;;;2016-04-12 15:00:00
;Zona Norte;Tijuca;;Maracana;;;CT;;;2016-04-10 22:24:59;2017-04-19 11:59:25;2,3,4,5;;;2016-04-19 12:45:56;2016-04-20 13:00:00
;Zona Oeste;Barra da Tijuca;;Rio design shopping;Linha Amarela;;CT: Bloco D;;;2016-04-11 13:25:13;2017-04-19 11:59:25;1;;;;2016-05-16 20:00:00
;Zona Norte;Abolição;;Mercado guanabara Av dom Hélder câmara ;Av Dom Hélder Câmara- Linha Amarela Na Altura Do Prédio Arena;;CT: Bloco A;;;2016-04-28 19:04:22;2017-04-19 11:59:25;1,2,3,4;;;;2016-05-19 20:00:00
;Zona Norte;Vila Isabel;;Universidade Veiga de Almeida;UVA, Praça Da Bandeira, Avenida Brasil, Linha Vermelha ;;CT;;"Passo na UVA por volta das 7h.
Ar condicionado e playlist democrática.
Contribuição de R$3,00. ";2016-08-26 10:58:37;2017-04-19 11:59:25;1,2,4,5;;;;2016-10-14 08:00:00
;Zona Sul;Gávea;;Manuel Ferreira;Jd Botanico ou Lagoa;;CT: Bloco D;;;2016-04-26 10:39:23;2017-04-19 11:59:25;1,2,3,4;;;2016-06-10 11:53:06;2016-06-21 08:00:00
;Zona Oeste;Vila Valqueire;;Madureira, Valqueire, Marechal, Sulacap, Realengo, Bangu;L. Amarela, Suburbana, Madureira, Intendente.      Obs. Bairros próximos podem entrar. Carona finaliza em Bangu;;CCS;;"Sem fumo, sou muito tranquilo. Possível negociar o caminho.

Contribuições de acordo com o trajeto,  porém justas.";2019-08-22 00:51:53;2019-08-22 00:51:53;1,3,5;2019-12-22;;;2019-11-15 01:00:00
;Zona Norte;Andaraí;;SESC tijuca;Depende do pessoal, Bem flexível ;;CT;;;2016-04-11 21:19:42;2017-04-19 11:59:25;1;2016-06-18;;;2016-04-18 10:00:00
;Zona Norte;Tijuca;;Mariz e Barros;Igreja SFX, América;;CT: Bloco A;;Aceito ajuda com a Gasolina 😁;2016-04-09 18:39:33;2017-04-19 11:59:25;2,4;;;2016-06-07 01:55:51;2016-06-07 08:00:00
;Zona Oeste;Recreio dos Bandeirantes;;;Salvador Alende e Linha Amarela ;;Reitoria;;;2016-04-10 10:30:36;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-10 10:33:39;2016-05-12 06:30:00
;Zona Sul;Ipanema;;Praça General Osório;Gomes Carneiro, Prudente de Moraes ou Barão da Torre, Vinícius de Moraes, Lagoa, Rebouças;;CT;;"Cobro $5.
Saio às 9h.
CT, CCMN, CCS, EEFD, Reitoria, Letras.";2016-08-28 14:21:20;2017-04-19 11:59:25;4;;;2016-08-30 13:59:45;2016-11-03 10:00:00
;Zona Norte;Portuguesa;;Coxinha Lanches;Galeão, Casa Show, Vila Militar;;CCMN: Frente;;;2016-05-26 17:35:05;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-08-08 22:00:00
;Zona Norte;Vila Isabel;;Shopping Boulevard Rio (Antigo Iguatemi);Linha Vermelha, Centro de Tradições Nordestinas, Rua São Luís Gonzaga, Quinta da Boa Vista, UERJ, 28 de setembro;;CT: Bloco D;;"Anota o wpp (21) 991362511
Música de AC/DC à Rihanna
Ligo o ar
Aceito pequenas contribuições! Ou um mate também cai bem =)";2017-03-05 16:11:31;2017-04-19 11:59:25;1;;;;2017-03-27 20:00:00
;Zona Oeste;Barra da Tijuca;;ABM;Americas (ou Canal), Linha Amarela;;CT;;;2017-11-13 09:25:29;2017-11-13 09:25:29;;;;;2017-11-13 13:00:00
;Zona Norte;Engenho de Dentro;;Praça Amambaí, Cocomambo;Linha Amarela;;CT;;"Não fumo. 
Favor, não fumar, beber ou comer dentro do veículo.";2019-03-12 18:24:29;2019-03-12 18:24:29;1;2019-07-18;;;2019-04-29 20:10:00
;Zona Oeste;Barra da Tijuca;;Fashion mall;Linha Vermelha- Leopoldina- Praça Da Bandeira- Tijuca- Alto- Barra;;CCMN: Frente;;"-Não fumar 
-Peço uma ajuda de custo para o combustível
-Poder mandar mensagem no WhatsApp 993145115";2018-03-20 13:00:38;2018-03-20 13:00:38;2,4,5;;;;2018-04-26 15:00:00
;Grande Niterói;Itaboraí;;centro Itaboraí Bradesco;br101;;Letras;;;2018-03-23 00:21:09;2018-03-23 00:21:09;;;;;2018-03-23 10:00:00
;Baixada;São João de Meriti;;Noobs, posto forza, centro do vilar;Dutra, Linha vermelha;;CT: Bloco D;;;2016-04-11 20:40:22;2017-04-19 11:59:25;2,4;2016-08-12;;;2016-04-12 08:00:00
;Zona Norte;Tijuca;;America Football Club  ;Rua Silva Ramos, America, Praça Da Bandeira, Leopoldina, Linha Vermelha, Fundao.;;CCS;;;2016-04-13 19:49:30;2017-04-19 11:59:25;;;;;2016-04-15 12:00:00
;Zona Sul;Laranjeiras;;Ponto de taxi da gago coutinho;Rua Das Laranjeiras-st Barbara-fundao;;CT: Bloco H;;"$$4 dilmas$$
Saio. 7:40 da gago coutinho";2016-04-25 18:57:28;2017-04-19 11:59:25;1,2,3,4,5;;;2016-05-13 07:31:01;2016-05-13 08:00:00
;Grande Niterói;Centro (Niterói);;Ponto Cem Reis / Plaza / Marquês de Paraná;Ponto Cem Reis- Praça Do Rink- Rua Da Conceição- Marquês De Paraná- Ponte- Linha Vermelha - Fundão;;Reitoria;;"Já fazia esse tipo de carona, com funcionários da própria UFRJ e estudante. Fazemos o tipo de carona compartilhada, assim não fica pesado (R$)  para ninguém. 
";2016-04-09 17:29:17;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-04-27 08:40:00
;Zona Norte;Tijuca;;Shopping Tijuca;Centro de Tradições Nordestinas, Quinta da Boa Vista, Trem/Metrô São Cristovão, Maracanã, Shopping Tijuca, Extra José Higino;;CT: Bloco A;;;2016-04-10 12:44:33;2017-04-19 11:59:25;1,4,5;;;2016-04-30 16:40:09;2016-05-06 16:00:00
;Zona Sul;Copacabana;;metro da siqueira campos;Corte, lagoa, Rebouças;;CCMN;;;2019-03-25 12:07:21;2019-03-25 12:07:21;1,2,3,4;2019-07-26;;;2019-05-14 08:00:00
;Zona Sul;Ipanema;;Garcia Davila;Corte Cantagalo, Vinicius de Morais;;CT: Bloco D;;;2016-05-09 22:00:47;2017-04-19 11:59:25;2;;;;2016-07-19 18:00:00
;Zona Sul;Leme;;;Laranjeiras, Botafogo, Copacabana e Leme;;CT: Bloco H;;Quem quiser voltar comigo, manda uma mensagem no whatsapp (21988358077), já que o caronaê ta sempre fora do ar. Aceito contribuições;2016-09-30 15:17:55;2017-04-19 11:59:25;1;2016-12-03;;;2016-10-03 15:00:00
;Zona Oeste;Barra da Tijuca;;Jardim Oceanico/Abm;Linha Vermelha;;CCMN: Frente;;;2018-08-27 10:52:59;2018-08-27 10:52:59;2;;;;2018-09-04 21:20:00
;Zona Norte;Méier;;;Linha Amarela, Dias Da Cruz;;CT: Bloco A;;;2016-09-20 00:14:14;2017-04-19 11:59:25;2,5;;;2016-09-20 00:15:33;2016-11-01 13:00:00
;Zona Sul;Botafogo;;Mena Barreto;Rebouças, Santa Bárbara ou Marcello Alencar;;CT;;"Costumo sair 7:10 de Botafogo com destino ao HUCFF, mas passo pelo CT, FAU e Letras antes de chegar lá. A contribuição de R$4 com a gasolina é mais que bem-vinda! :D

Às vezes o Caonae fica instável, assim tem o wpp: (21)982361429
";2017-04-03 06:42:10;2017-05-02 05:27:05;1,2,3,4,5;;;2017-05-02 05:27:05;2017-05-29 07:48:00
;Zona Sul;Botafogo;;Deli Delicia-São Clemente;Via Santa Barbara;;CT: Bloco D;;Contribuicao de 4,00;2016-10-31 10:48:24;2017-04-19 11:59:25;;;;;2016-10-31 17:00:00
;Zona Norte;Penha;;Guanabara;Penha, Olaria, Ramos;;CT;;aquela ajuda de 4 temeres;2017-08-15 16:44:29;2017-08-15 16:44:29;1,2,3,4,5;;;;2017-09-01 08:00:00
;Centro;Centro (Bairro);;Aeroporto Santos Dumont;Presidente Varga e Rio Branco;;CCMN: Frente;;;2017-04-24 14:48:59;2017-04-24 14:48:59;1,2,3,4;2017-06-24;;;2017-04-24 15:00:00
;Zona Norte;Jardim Guanabara;;Quebra Coco;;;CCS;;;2016-04-14 07:30:30;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-14 22:08:24;2016-04-26 08:00:00
;Zona Sul;Humaitá;;Entrada do hospital de frente para o CCS;CCS, CT, Linha Vermelha, Túnel Rebouças, Rua Humaitá, Rua Pio Correa;;CCS: HUCFF;;;2016-04-10 00:46:32;2017-04-19 11:59:25;2,3,5;;;;2016-05-13 17:00:00
;Centro;Barra de Guaratiba;;Recreio Shopping;Alvorada;;CCS;;"Aceito ajuda de 6 reais para pedágio e combustível.
WhatsApp 999436806";2017-05-10 15:38:41;2017-05-10 15:38:41;1,2,3,4,5;;;;2017-06-06 09:00:00
;Zona Norte;Tijuca;;Rua Uruguai, Praça Saens Pena;Av. Maracanã;;CT: Bloco H;;Não-fumantes, contribuição com gasolina: R$4;2017-06-02 10:27:15;2017-06-02 10:27:15;1,2,3,4;;;;2017-07-19 17:15:00
;Zona Norte;Cachambi;;;Linha amarela, Norte Shopping, Estação do Meier;;CT: Bloco D;;Contribuição sugerida para combustível: 3,50;2017-03-28 15:34:19;2017-04-19 11:59:25;2,4;;;;2017-05-02 16:00:00
;Zona Sul;Botafogo;;Inicio da Rua São Clemente;;;CT: Bloco H;;;2018-03-21 09:59:07;2018-03-21 09:59:07;1,2,3,4,5;;;;2018-04-20 15:55:00
;Zona Norte;Jardim Guanabara;;Quebra coco ;Casa Show,  Saída Da Ilha ;;CCS;;;2016-04-12 00:58:03;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-12 01:06:03;2016-06-20 07:45:00
;Baixada;São João de Meriti;;;Dutra/linha Vermelha;;Reitoria;;;2016-05-10 19:56:49;2017-04-19 11:59:25;1,2,5;;;;2016-06-24 14:30:00
;Zona Norte;Engenho da Rainha;;Estação Engenho da Rainha;Est. Inhaúma, Nova America e Linha Amarela;;CT;;R$ 4,00 para ajudar no combustível;2019-09-05 07:02:56;2019-09-05 07:02:56;1,2,3,4,5;2019-11-05;;;2019-09-13 08:00:00
;Zona Norte;Tijuca;;Feira de São Cristóvão, Quinta da Boa Vista, Maracanã, Shopping Tijuca, Extra Maracanã, Praça Xavier de Brito, Largo da Usina.;Linha Vermelha, Campo de São Cristóvão, Av. Rotary Internacional, Viaduto Oduvaldo Cozzi, Av. Maracanã, Rua Gal. Espírito Santo Cardoso, Rua São Miguel, Largo da Usina, Rua Rocha Miranda;;CT: Bloco H;;"Contribuições monetárias, sem valor pré-determinado, são bem vindas. 
Contato alternativo: Tel.: 98093-4277. ";2016-06-13 09:43:28;2017-04-19 11:59:25;1,2,3,4,5;;;2016-06-24 14:08:55;2016-06-24 20:00:00
;Zona Sul;Ipanema;;Praça General Osório;Gomes Carneiro, Barão da Torre ou Prudente de Moraes, Vinícius de Moraes, Lagoa, Rebouças;;CT: Bloco A;;"Cobro $4.
Saio às 7h.
CT, CCS, CCMN, EEFD, Reitoria, Letras.";2016-08-30 14:10:31;2017-04-19 11:59:25;2;;;2016-09-12 14:34:14;2017-01-03 08:00:00
;Zona Oeste;Barra da Tijuca;;Rio design;Avenida Das Américas, Linha Amarela;;CT: Bloco H;;;2017-05-18 20:12:08;2017-05-18 20:12:08;2;;;;2017-07-04 13:00:00
;Zona Oeste;Barra da Tijuca;;cittá;av. americas;;Letras;;;2016-04-11 19:50:37;2017-04-19 11:59:25;1,3,5;;;;2016-05-23 22:00:00
;Zona Oeste;Barra da Tijuca;;Pedra de Itaúna;Av Das Americas-linha Amarela;;CCS;;Whatsapp 964892918;2018-08-11 07:08:29;2018-08-11 07:08:29;;;;;2018-08-13 17:00:00
;Zona Sul;Urca;;Praia da urca;Praia Da Urca - Aterro- Marcelo Alencar- Linha Vermelha;;CCMN;;"-Não fumar 
-Peço uma ajuda de custo para o combustível
-Poder mandar mensagem no WhatsApp 993145115";2019-03-13 09:29:40;2019-03-13 09:29:40;1,2,3,4,5;2019-07-14;;;2019-04-26 08:00:00
;Zona Norte;Tijuca;;Praça Afonso Pena;Leopoldina, linha vermelha;;CT;;Contribuição de 4 reais;2019-05-14 08:06:56;2019-05-14 08:06:56;;;;;2019-05-14 09:00:00
;Zona Norte;Tijuca;;Rua Afonso Pena;;;CT: Bloco H;;;2016-08-30 22:45:15;2017-04-19 11:59:25;1,2,3;;;;2016-10-10 08:00:00
;Zona Sul;Copacabana;;Hospital Copa D’or;Humaitá, Túnel Rebouças, Linha Vermelha, Fundão;;CCS;;;2019-03-01 14:26:02;2019-03-01 14:26:02;1,2,3,4,5;2019-05-07;;;2019-03-27 07:30:00
;Zona Oeste;Recreio dos Bandeirantes;;;Barra, São Conrado, Orla;;Praia Vermelha: Pinel-Fundos;;Contribuição consciente;2019-06-12 23:00:41;2019-06-12 23:00:41;1,3;2019-08-19;;;2019-08-07 18:00:00
;Zona Norte;Jardim Guanabara;;Praia da Bica;CT - Est Galeão - Praia Da Bica;;CT: Bloco H;;;2016-04-30 19:44:39;2017-04-19 11:59:25;1;;;;2016-06-13 15:00:00
;Zona Oeste;Barra da Tijuca;;Jardim Oceânico (Posto 3);"Linha Amarela; Av. Ayrton Senna; Av. das Américas; Jardim Oceânico";;CT: Bloco H;;;2016-04-19 10:47:21;2017-04-19 11:59:25;;;;2016-04-19 11:49:21;2016-04-19 12:10:00
